id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
1,Al,Pratt,NULL,R,140,67,1871-05-04,1872-08-19,1847,11,19,Pittsburgh,PA,USA
2,Art,Allison,NULL,NULL,150,68,1871-05-04,1876-10-05,1849,1,29,Philadelphia,PA,USA
3,Bill,Kelly,NULL,NULL,150,67,1871-05-04,1871-08-29,NULL,NULL,NULL,New York,NY,USA
4,Bill,Lennon,NULL,NULL,145,67,1871-05-04,1873-07-11,1845,1,3,Brooklyn,NY,USA
5,Bobby,Mathews,R,R,140,65,1871-05-04,1887-10-10,1851,11,21,Baltimore,MD,USA
6,Charlie,Pabor,L,L,155,68,1871-05-04,1875-10-28,1846,9,24,Brooklyn,NY,USA
7,Deacon,White,L,R,175,71,1871-05-04,1890-10-04,1847,12,2,Caton,NY,USA
8,Ed,Mincher,NULL,NULL,155,67,1871-05-04,1872-06-26,1851,6,17,Baltimore,MD,USA
9,Elmer,White,NULL,NULL,NULL,NULL,1871-05-04,1871-09-27,1849,12,7,Caton,NY,USA
10,Ezra,Sutton,R,R,153,68,1871-05-04,1888-06-20,1849,9,17,Seneca Falls,NY,USA
11,Frank,Sellman,NULL,NULL,145,69,1871-05-04,1875-05-03,1851,1,21,Baltimore,MD,USA
12,Gene,Kimball,NULL,NULL,160,70,1871-05-04,1871-09-27,1850,8,31,Rochester,NY,USA
13,James,McDermott,NULL,NULL,NULL,NULL,1871-05-04,1872-07-06,1846,NULL,NULL,Brooklyn,NY,USA
14,Jim,Carleton,NULL,NULL,155,68,1871-05-04,1872-05-22,1848,8,20,Clinton,CT,USA
15,Jim,Foran,NULL,NULL,159,66,1871-05-04,1871-08-29,1847,NULL,NULL,NULL,PA,USA
16,John,Bass,NULL,NULL,150,66,1871-05-04,1877-08-20,1848,NULL,NULL,Charleston,MD,USA
17,Tom,Carey,R,R,145,68,1871-05-04,1879-09-29,1846,11,2,Brooklyn,NY,USA
